Issue ID,Added,Removed,Updated,Total
CASSANDRA-2017,11,0,0,11
CASSANDRA-2243,1,0,0,1
CASSANDRA-2080,0,0,2,2
CASSANDRA-2265,2,0,4,6
CASSANDRA-1851,62,12,0,74
CASSANDRA-2561,78,13,0,91
CASSANDRA-1610,4,0,0,4
CASSANDRA-2784,0,2,0,2
CASSANDRA-2998,3,6,0,9
CASSANDRA-2252,0,0,1,1
CASSANDRA-2761,7,0,0,7
CASSANDRA-2936,1,0,0,1
CASSANDRA-3159,1,1,0,2
CASSANDRA-3184,4,0,0,4
CASSANDRA-3203,0,0,1,1
CASSANDRA-3338,0,0,1,1
CASSANDRA-3300,0,7,0,7
CASSANDRA-3213,0,0,1,1
CASSANDRA-3713,3,0,0,3
CASSANDRA-3671,2,0,0,2
CASSANDRA-3676,3,0,0,3
CASSANDRA-4132,0,0,1,1
CASSANDRA-4183,0,0,2,2
CASSANDRA-4208,0,0,1,1
CASSANDRA-4691,0,0,1,1
CASSANDRA-3719,0,0,1,1
CASSANDRA-5038,4,0,0,4
CASSANDRA-4898,2,0,0,2
CASSANDRA-5181,1,0,0,1
CASSANDRA-5364,0,0,1,1
CASSANDRA-5582,2,0,0,2
CASSANDRA-5719,0,0,1,1
CASSANDRA-4573,0,0,2,2
CASSANDRA-5923,0,0,2,2
CASSANDRA-5887,0,0,1,1
CASSANDRA-5838,2,2,0,4
CASSANDRA-4430,2,0,0,2
CASSANDRA-5695,3,0,0,3
CASSANDRA-6309,3,0,0,3
CASSANDRA-6199,2,0,0,2
CASSANDRA-6381,2,0,0,2
CASSANDRA-6373,0,0,2,2
CASSANDRA-6407,0,0,2,2
CASSANDRA-5872,0,1,2,3
CASSANDRA-5549,0,0,1,1
CASSANDRA-6639,0,1,1,2
CASSANDRA-5201,6,6,0,12
CASSANDRA-6157,2,0,0,2
CASSANDRA-6800,0,0,1,1
CASSANDRA-6285,0,0,1,1
CASSANDRA-6311,6,0,0,6
CASSANDRA-6855,0,0,1,1
CASSANDRA-7128,2,2,1,5
CASSANDRA-6877,0,0,1,1
CASSANDRA-7248,0,2,0,2
CASSANDRA-7245,0,0,1,1
CASSANDRA-6556,0,0,1,1
CASSANDRA-6755,2,0,0,2
CASSANDRA-7618,0,0,1,1
CASSANDRA-7594,0,0,4,4
CASSANDRA-7562,3,0,0,3
CASSANDRA-7920,0,2,0,2
CASSANDRA-7761,0,0,1,1
CASSANDRA-7838,2,0,0,2
CASSANDRA-7692,0,0,1,1
CASSANDRA-8151,4,0,0,4
CASSANDRA-7443,1,1,2,4
CASSANDRA-8209,0,0,1,1
CASSANDRA-8231,0,0,1,1
CASSANDRA-7039,0,0,1,1
CASSANDRA-7438,2,1,0,3
CASSANDRA-5657,2,2,0,4
CASSANDRA-8685,0,0,1,1
CASSANDRA-8842,0,0,1,1
CASSANDRA-8714,0,0,1,1
CASSANDRA-8836,2,0,0,2
CASSANDRA-8149,0,0,1,1
CASSANDRA-9046,0,0,1,1
CASSANDRA-8358,0,0,1,1
CASSANDRA-9063,0,0,1,1
CASSANDRA-9376,0,0,2,2
CASSANDRA-8241,2,2,0,4
CASSANDRA-9463,1,0,0,1
CASSANDRA-9493,0,3,0,3
CASSANDRA-9035,0,2,0,2
CASSANDRA-9499,2,0,2,4
CASSANDRA-9653,0,0,1,1
CASSANDRA-9650,0,2,0,2
CASSANDRA-9845,8,0,3,11
CASSANDRA-10071,0,0,7,7
CASSANDRA-8630,0,0,4,4
CASSANDRA-10542,0,4,0,4
CASSANDRA-10616,0,0,2,2
CASSANDRA-10365,2,0,0,2
CASSANDRA-10704,0,2,0,2
CASSANDRA-10703,0,0,2,2
CASSANDRA-10653,0,2,0,2
CASSANDRA-10661,10,0,0,10
CASSANDRA-10793,2,0,0,2
CASSANDRA-10972,6,0,0,6
CASSANDRA-11444,0,0,4,4
CASSANDRA-11096,0,0,1,1
CASSANDRA-11567,0,0,1,1
CASSANDRA-11615,0,0,1,1
CASSANDRA-11869,1,0,4,5
CASSANDRA-11853,1,0,0,1
CASSANDRA-12032,0,0,1,1
CASSANDRA-12133,0,0,4,4
CASSANDRA-12312,2,0,0,2
CASSANDRA-12377,6,0,0,6
CASSANDRA-12536,0,0,2,2
CASSANDRA-12585,2,0,0,2
CASSANDRA-12089,0,0,1,1
CASSANDRA-12790,0,0,1,1
CASSANDRA-12845,0,2,0,2
CASSANDRA-11115,0,15,0,15
CASSANDRA-10855,0,2,1,3
CASSANDRA-13114,0,0,1,1
CASSANDRA-13360,0,0,1,1
CASSANDRA-4650,1,0,0,1
CASSANDRA-13072,0,0,2,2
CASSANDRA-13336,0,0,1,1
CASSANDRA-12994,0,0,1,1
CASSANDRA-12996,0,0,11,11
CASSANDRA-13727,0,0,2,2
CASSANDRA-13648,0,0,2,2
CASSANDRA-8457,0,0,1,1
CASSANDRA-13741,2,2,0,4
CASSANDRA-10786,0,4,0,4
CASSANDRA-11193,2,0,0,2
CASSANDRA-13997,0,0,2,2
CASSANDRA-14183,0,0,2,2
CASSANDRA-12924,0,0,2,2
CASSANDRA-14427,6,4,0,10
CASSANDRA-14422,4,0,0,4
CASSANDRA-13929,0,0,2,2
CASSANDRA-9608,2,0,21,23
CASSANDRA-14633,0,0,1,1
CASSANDRA-13304,2,0,1,3
CASSANDRA-14716,0,0,1,1
CASSANDRA-14482,1,0,0,1
CASSANDRA-15108,0,0,7,7
CASSANDRA-15066,0,0,1,1
CASSANDRA-15195,1,0,1,2
CASSANDRA-15321,1,0,2,3
CASSANDRA-14655,4,0,1,5
CASSANDRA-12197,21,0,1,22
CASSANDRA-15257,0,3,0,3
CASSANDRA-12995,0,0,1,1
CASSANDRA-15556,0,0,2,2
CASSANDRA-15388,2,0,0,2
CASSANDRA-15564,3,0,0,3
CASSANDRA-15539,5,0,0,5
CASSANDRA-15631,4,0,0,4
CASSANDRA-15647,0,0,1,1
CASSANDRA-15733,0,0,1,1
CASSANDRA-15677,6,0,1,7
CASSANDRA-15867,6,4,3,13
CASSANDRA-15868,0,0,2,2
CASSANDRA-15851,2,0,1,3
CASSANDRA-15907,0,0,1,1
CASSANDRA-16064,0,0,1,1
CASSANDRA-16102,0,0,1,1
CASSANDRA-16109,0,0,1,1
CASSANDRA-16101,0,0,1,1
CASSANDRA-16127,3,0,0,3
CASSANDRA-16150,0,0,1,1
CASSANDRA-16148,0,0,1,1
CASSANDRA-16212,0,0,1,1
CASSANDRA-16255,0,0,1,1
CASSANDRA-15299,0,0,1,1
CASSANDRA-16249,0,0,1,1
CASSANDRA-16136,0,0,1,1
CASSANDRA-16303,3,0,0,3
CASSANDRA-16384,0,0,13,13
CASSANDRA-16392,0,0,13,13
CASSANDRA-16365,0,0,2,2
CASSANDRA-14973,0,4,0,4
CASSANDRA-16462,0,0,1,1
CASSANDRA-15897,6,0,0,6
CASSANDRA-13951,4,0,0,4
CASSANDRA-16559,2,0,2,4
CASSANDRA-16391,29,39,20,88
CASSANDRA-16576,0,0,1,1
