issue_id,Added,Removed,Changed,Total,Existence,Property,Executive
CASSANDRA-2561,78.00,13.00,0.00,91.00,,,
CASSANDRA-16391,29.00,39.00,20.00,88.00,,,x
CASSANDRA-1851,62.00,12.00,0.00,74.00,,,
CASSANDRA-9608,2.00,0.00,21.00,23.00,,,x
CASSANDRA-12197,21.00,0.00,1.00,22.00,,,x
CASSANDRA-11115,0.00,15.00,0.00,15.00,,,x
CASSANDRA-16384,0.00,0.00,13.00,13.00,,,
CASSANDRA-16392,0.00,0.00,13.00,13.00,,,
CASSANDRA-15867,6.00,4.00,3.00,13.00,,,x
CASSANDRA-5201,6.00,6.00,0.00,12.00,,,x
CASSANDRA-12996,0.00,0.00,11.00,11.00,,,x
CASSANDRA-9845,8.00,0.00,3.00,11.00,,,
CASSANDRA-2017,11.00,0.00,0.00,11.00,,,x
CASSANDRA-14427,6.00,4.00,0.00,10.00,,,x
CASSANDRA-10661,10.00,0.00,0.00,10.00,,,x
CASSANDRA-2998,3.00,6.00,0.00,9.00,,,x
CASSANDRA-10071,0.00,0.00,7.00,7.00,,,
CASSANDRA-15108,0.00,0.00,7.00,7.00,,,
CASSANDRA-15677,6.00,0.00,1.00,7.00,,,
CASSANDRA-3300,0.00,7.00,0.00,7.00,,,
CASSANDRA-2761,7.00,0.00,0.00,7.00,,,
CASSANDRA-2265,2.00,0.00,4.00,6.00,,,
CASSANDRA-10972,6.00,0.00,0.00,6.00,,,
CASSANDRA-12377,6.00,0.00,0.00,6.00,,,x
CASSANDRA-15897,6.00,0.00,0.00,6.00,,,
CASSANDRA-6311,6.00,0.00,0.00,6.00,x,x,
CASSANDRA-11869,1.00,0.00,4.00,5.00,,,
CASSANDRA-7128,2.00,2.00,1.00,5.00,,,x
CASSANDRA-14655,4.00,0.00,1.00,5.00,,,x
CASSANDRA-15539,5.00,0.00,0.00,5.00,,,x
CASSANDRA-11444,0.00,0.00,4.00,4.00,,,x
CASSANDRA-12133,0.00,0.00,4.00,4.00,,,
CASSANDRA-7594,0.00,0.00,4.00,4.00,,x,
CASSANDRA-8630,0.00,0.00,4.00,4.00,,x,
CASSANDRA-7443,1.00,1.00,2.00,4.00,x,x,
CASSANDRA-16559,2.00,0.00,2.00,4.00,,,
CASSANDRA-9499,2.00,0.00,2.00,4.00,,x,
CASSANDRA-10542,0.00,4.00,0.00,4.00,,,x
CASSANDRA-10786,0.00,4.00,0.00,4.00,x,,
CASSANDRA-14973,0.00,4.00,0.00,4.00,,,
CASSANDRA-13741,2.00,2.00,0.00,4.00,,,x
CASSANDRA-5657,2.00,2.00,0.00,4.00,,,x
CASSANDRA-5838,2.00,2.00,0.00,4.00,,,x
CASSANDRA-8241,2.00,2.00,0.00,4.00,,,x
CASSANDRA-13951,4.00,0.00,0.00,4.00,,,
CASSANDRA-14422,4.00,0.00,0.00,4.00,,,
CASSANDRA-15631,4.00,0.00,0.00,4.00,,,x
CASSANDRA-1610,4.00,0.00,0.00,4.00,x,,
CASSANDRA-3184,4.00,0.00,0.00,4.00,,,
CASSANDRA-5038,4.00,0.00,0.00,4.00,,x,x
CASSANDRA-8151,4.00,0.00,0.00,4.00,,,x
CASSANDRA-5872,0.00,1.00,2.00,3.00,,,
CASSANDRA-15321,1.00,0.00,2.00,3.00,,,
CASSANDRA-10855,0.00,2.00,1.00,3.00,,x,x
CASSANDRA-13304,2.00,0.00,1.00,3.00,x,x,
CASSANDRA-15851,2.00,0.00,1.00,3.00,,,x
CASSANDRA-15257,0.00,3.00,0.00,3.00,,,x
CASSANDRA-9493,0.00,3.00,0.00,3.00,,,x
CASSANDRA-7438,2.00,1.00,0.00,3.00,x,x,
CASSANDRA-15564,3.00,0.00,0.00,3.00,x,,
CASSANDRA-16127,3.00,0.00,0.00,3.00,,,
CASSANDRA-16303,3.00,0.00,0.00,3.00,,,
CASSANDRA-3676,3.00,0.00,0.00,3.00,,,
CASSANDRA-3713,3.00,0.00,0.00,3.00,x,,
CASSANDRA-5695,3.00,0.00,0.00,3.00,,,x
CASSANDRA-6309,3.00,0.00,0.00,3.00,,,
CASSANDRA-7562,3.00,0.00,0.00,3.00,x,,
CASSANDRA-10616,0.00,0.00,2.00,2.00,,,x
CASSANDRA-10703,0.00,0.00,2.00,2.00,,,
CASSANDRA-12536,0.00,0.00,2.00,2.00,,,x
CASSANDRA-12924,0.00,0.00,2.00,2.00,,,x
CASSANDRA-13072,0.00,0.00,2.00,2.00,,,x
CASSANDRA-15556,0.00,0.00,2.00,2.00,,,
CASSANDRA-13648,0.00,0.00,2.00,2.00,,,x
CASSANDRA-13727,0.00,0.00,2.00,2.00,,,x
CASSANDRA-13929,0.00,0.00,2.00,2.00,,,
CASSANDRA-13997,0.00,0.00,2.00,2.00,,,x
CASSANDRA-14183,0.00,0.00,2.00,2.00,,x,x
CASSANDRA-15868,0.00,0.00,2.00,2.00,,x,x
CASSANDRA-16365,0.00,0.00,2.00,2.00,,,x
CASSANDRA-2080,0.00,0.00,2.00,2.00,,,x
CASSANDRA-4183,0.00,0.00,2.00,2.00,,,
CASSANDRA-4573,0.00,0.00,2.00,2.00,,,
CASSANDRA-5923,0.00,0.00,2.00,2.00,,,x
CASSANDRA-6373,0.00,0.00,2.00,2.00,,,
CASSANDRA-6407,0.00,0.00,2.00,2.00,,,
CASSANDRA-9376,0.00,0.00,2.00,2.00,,,x
CASSANDRA-6639,0.00,1.00,1.00,2.00,,,x
CASSANDRA-15195,1.00,0.00,1.00,2.00,,,x
CASSANDRA-10653,0.00,2.00,0.00,2.00,,,x
CASSANDRA-10704,0.00,2.00,0.00,2.00,,,x
CASSANDRA-12845,0.00,2.00,0.00,2.00,,,x
CASSANDRA-2784,0.00,2.00,0.00,2.00,,,
CASSANDRA-7248,0.00,2.00,0.00,2.00,x,,
CASSANDRA-7920,0.00,2.00,0.00,2.00,x,,
CASSANDRA-9035,0.00,2.00,0.00,2.00,x,,
CASSANDRA-9650,0.00,2.00,0.00,2.00,,,x
CASSANDRA-3159,1.00,1.00,0.00,2.00,,,
CASSANDRA-10365,2.00,0.00,0.00,2.00,,,
CASSANDRA-10793,2.00,0.00,0.00,2.00,,,
CASSANDRA-11193,2.00,0.00,0.00,2.00,,,
CASSANDRA-12312,2.00,0.00,0.00,2.00,,,x
CASSANDRA-12585,2.00,0.00,0.00,2.00,,,x
CASSANDRA-15388,2.00,0.00,0.00,2.00,,,x
CASSANDRA-3671,2.00,0.00,0.00,2.00,,,x
CASSANDRA-4430,2.00,0.00,0.00,2.00,,,x
CASSANDRA-4898,2.00,0.00,0.00,2.00,x,,
CASSANDRA-5582,2.00,0.00,0.00,2.00,,x,x
CASSANDRA-6157,2.00,0.00,0.00,2.00,x,,
CASSANDRA-6199,2.00,0.00,0.00,2.00,x,,
CASSANDRA-6381,2.00,0.00,0.00,2.00,,,x
CASSANDRA-6755,2.00,0.00,0.00,2.00,x,x,
CASSANDRA-7838,2.00,0.00,0.00,2.00,x,,x
CASSANDRA-8836,2.00,0.00,0.00,2.00,,,x
CASSANDRA-11096,0.00,0.00,1.00,1.00,,,x
CASSANDRA-11567,0.00,0.00,1.00,1.00,,,x
CASSANDRA-11615,0.00,0.00,1.00,1.00,,,
CASSANDRA-12032,0.00,0.00,1.00,1.00,,,x
CASSANDRA-12089,0.00,0.00,1.00,1.00,,,x
CASSANDRA-12790,0.00,0.00,1.00,1.00,,,x
CASSANDRA-12994,0.00,0.00,1.00,1.00,,,x
CASSANDRA-12995,0.00,0.00,1.00,1.00,,,x
CASSANDRA-13114,0.00,0.00,1.00,1.00,,,x
CASSANDRA-14716,0.00,0.00,1.00,1.00,,,
CASSANDRA-15066,0.00,0.00,1.00,1.00,x,x,
CASSANDRA-15299,0.00,0.00,1.00,1.00,x,x,
CASSANDRA-13336,0.00,0.00,1.00,1.00,,,x
CASSANDRA-13360,0.00,0.00,1.00,1.00,,,x
CASSANDRA-14633,0.00,0.00,1.00,1.00,,,x
CASSANDRA-15647,0.00,0.00,1.00,1.00,,,
CASSANDRA-15733,0.00,0.00,1.00,1.00,x,,
CASSANDRA-15907,0.00,0.00,1.00,1.00,x,,
CASSANDRA-16064,0.00,0.00,1.00,1.00,,,
CASSANDRA-16102,0.00,0.00,1.00,1.00,,,x
CASSANDRA-16109,0.00,0.00,1.00,1.00,,,
CASSANDRA-16101,0.00,0.00,1.00,1.00,,,
CASSANDRA-16136,0.00,0.00,1.00,1.00,,,x
CASSANDRA-16148,0.00,0.00,1.00,1.00,,,
CASSANDRA-16150,0.00,0.00,1.00,1.00,,x,x
CASSANDRA-16212,0.00,0.00,1.00,1.00,,,x
CASSANDRA-16249,0.00,0.00,1.00,1.00,,,
CASSANDRA-16255,0.00,0.00,1.00,1.00,,,x
CASSANDRA-16462,0.00,0.00,1.00,1.00,,x,x
CASSANDRA-16576,0.00,0.00,1.00,1.00,,,x
CASSANDRA-2252,0.00,0.00,1.00,1.00,x,,x
CASSANDRA-3203,0.00,0.00,1.00,1.00,,,
CASSANDRA-3213,0.00,0.00,1.00,1.00,,,x
CASSANDRA-3338,0.00,0.00,1.00,1.00,,,
CASSANDRA-3719,0.00,0.00,1.00,1.00,,,x
CASSANDRA-4132,0.00,0.00,1.00,1.00,,,x
CASSANDRA-4208,0.00,0.00,1.00,1.00,x,,x
CASSANDRA-4691,0.00,0.00,1.00,1.00,,,x
CASSANDRA-5364,0.00,0.00,1.00,1.00,,,x
CASSANDRA-5549,0.00,0.00,1.00,1.00,x,x,
CASSANDRA-5719,0.00,0.00,1.00,1.00,,,
CASSANDRA-5887,0.00,0.00,1.00,1.00,x,,x
CASSANDRA-6285,0.00,0.00,1.00,1.00,,,
CASSANDRA-6556,0.00,0.00,1.00,1.00,,,x
CASSANDRA-6800,0.00,0.00,1.00,1.00,,,x
CASSANDRA-6855,0.00,0.00,1.00,1.00,x,,
CASSANDRA-6877,0.00,0.00,1.00,1.00,,,
CASSANDRA-7039,0.00,0.00,1.00,1.00,x,x,x
CASSANDRA-7245,0.00,0.00,1.00,1.00,,,
CASSANDRA-7618,0.00,0.00,1.00,1.00,,,
CASSANDRA-7692,0.00,0.00,1.00,1.00,,,x
CASSANDRA-7761,0.00,0.00,1.00,1.00,,,x
CASSANDRA-8149,0.00,0.00,1.00,1.00,,,x
CASSANDRA-8209,0.00,0.00,1.00,1.00,,,
CASSANDRA-8231,0.00,0.00,1.00,1.00,,,
CASSANDRA-8358,0.00,0.00,1.00,1.00,x,,x
CASSANDRA-8457,0.00,0.00,1.00,1.00,,x,x
CASSANDRA-8685,0.00,0.00,1.00,1.00,,,x
CASSANDRA-8714,0.00,0.00,1.00,1.00,,x,x
CASSANDRA-8842,0.00,0.00,1.00,1.00,,,x
CASSANDRA-9046,0.00,0.00,1.00,1.00,x,,
CASSANDRA-9063,0.00,0.00,1.00,1.00,,,x
CASSANDRA-9653,0.00,0.00,1.00,1.00,,,x
CASSANDRA-11853,1.00,0.00,0.00,1.00,,,x
CASSANDRA-14482,1.00,0.00,0.00,1.00,,x,x
CASSANDRA-2243,1.00,0.00,0.00,1.00,,,x
CASSANDRA-2936,1.00,0.00,0.00,1.00,x,,
CASSANDRA-4650,1.00,0.00,0.00,1.00,x,x,x
CASSANDRA-5181,1.00,0.00,0.00,1.00,,,
CASSANDRA-9463,1.00,0.00,0.00,1.00,,,
